timestamp_ms,timestamp_iso,status,response_time_ms,http_code,error
1769440729287,2026-01-26T07:18:49.287,success,0.57,200,
1769440729337,2026-01-26T07:18:49.337,success,0.53,200,
1769440729387,2026-01-26T07:18:49.387,success,0.54,200,
1769440729437,2026-01-26T07:18:49.437,success,0.91,200,
1769440729488,2026-01-26T07:18:49.488,success,0.63,200,
1769440729538,2026-01-26T07:18:49.538,success,0.60,200,
1769440729588,2026-01-26T07:18:49.588,success,0.64,200,
1769440729638,2026-01-26T07:18:49.638,success,0.59,200,
1769440729688,2026-01-26T07:18:49.688,success,0.58,200,
1769440729738,2026-01-26T07:18:49.738,success,0.56,200,
1769440729788,2026-01-26T07:18:49.788,success,0.52,200,
1769440729838,2026-01-26T07:18:49.838,success,0.51,200,
1769440729889,2026-01-26T07:18:49.889,success,0.56,200,
1769440729939,2026-01-26T07:18:49.939,success,0.73,200,
1769440729989,2026-01-26T07:18:49.989,success,0.70,200,
1769440730039,2026-01-26T07:18:50.039,success,0.62,200,
1769440730089,2026-01-26T07:18:50.089,success,0.62,200,
1769440730139,2026-01-26T07:18:50.139,success,0.54,200,
1769440730189,2026-01-26T07:18:50.189,success,0.59,200,
1769440730239,2026-01-26T07:18:50.239,success,0.64,200,
1769440730290,2026-01-26T07:18:50.290,success,0.55,200,
1769440730340,2026-01-26T07:18:50.340,success,0.55,200,
1769440730390,2026-01-26T07:18:50.390,success,0.59,200,
1769440730440,2026-01-26T07:18:50.440,success,0.53,200,
1769440730490,2026-01-26T07:18:50.490,success,0.53,200,
1769440730540,2026-01-26T07:18:50.540,success,0.56,200,
1769440730590,2026-01-26T07:18:50.590,success,0.63,200,
1769440730641,2026-01-26T07:18:50.641,success,0.59,200,
1769440730691,2026-01-26T07:18:50.691,success,0.60,200,
1769440730741,2026-01-26T07:18:50.741,success,0.57,200,
1769440730791,2026-01-26T07:18:50.791,success,0.59,200,
1769440730841,2026-01-26T07:18:50.841,success,0.55,200,
1769440730891,2026-01-26T07:18:50.891,success,0.53,200,
1769440730941,2026-01-26T07:18:50.941,success,0.75,200,
1769440730991,2026-01-26T07:18:50.991,success,0.68,200,
1769440731042,2026-01-26T07:18:51.042,success,0.90,200,
1769440731092,2026-01-26T07:18:51.092,success,0.60,200,
1769440731142,2026-01-26T07:18:51.142,success,0.55,200,
1769440731192,2026-01-26T07:18:51.192,success,0.59,200,
1769440731242,2026-01-26T07:18:51.242,success,0.53,200,
1769440731292,2026-01-26T07:18:51.292,success,0.49,200,
1769440731342,2026-01-26T07:18:51.342,success,0.65,200,
1769440731393,2026-01-26T07:18:51.393,success,0.57,200,
1769440731443,2026-01-26T07:18:51.443,success,0.84,200,
1769440731493,2026-01-26T07:18:51.493,success,0.60,200,
1769440731543,2026-01-26T07:18:51.543,success,0.68,200,
1769440731593,2026-01-26T07:18:51.593,success,0.73,200,
1769440731643,2026-01-26T07:18:51.643,success,0.73,200,
1769440731694,2026-01-26T07:18:51.694,success,0.61,200,
1769440731744,2026-01-26T07:18:51.744,success,0.58,200,
1769440731794,2026-01-26T07:18:51.794,success,0.58,200,
1769440731844,2026-01-26T07:18:51.844,success,0.70,200,
1769440731894,2026-01-26T07:18:51.894,success,0.58,200,
1769440731944,2026-01-26T07:18:51.944,success,0.83,200,
1769440731994,2026-01-26T07:18:51.994,success,0.72,200,
1769440732045,2026-01-26T07:18:52.045,success,0.72,200,
1769440732095,2026-01-26T07:18:52.095,success,0.71,200,
1769440732145,2026-01-26T07:18:52.145,success,0.66,200,
1769440732195,2026-01-26T07:18:52.195,success,0.67,200,
1769440732245,2026-01-26T07:18:52.245,success,0.56,200,
1769440732295,2026-01-26T07:18:52.295,success,0.53,200,
1769440732346,2026-01-26T07:18:52.346,success,0.66,200,
1769440732396,2026-01-26T07:18:52.396,success,0.82,200,
1769440732446,2026-01-26T07:18:52.446,success,0.61,200,
1769440732496,2026-01-26T07:18:52.496,success,0.58,200,
1769440732546,2026-01-26T07:18:52.546,success,0.53,200,
1769440732596,2026-01-26T07:18:52.596,success,0.54,200,
1769440732646,2026-01-26T07:18:52.646,success,0.48,200,
1769440732696,2026-01-26T07:18:52.696,success,0.71,200,
1769440732747,2026-01-26T07:18:52.747,success,0.66,200,
1769440732797,2026-01-26T07:18:52.797,success,0.59,200,
1769440732847,2026-01-26T07:18:52.847,success,0.70,200,
1769440732897,2026-01-26T07:18:52.897,success,0.64,200,
1769440732947,2026-01-26T07:18:52.947,success,0.85,200,
1769440732997,2026-01-26T07:18:52.997,success,0.78,200,
1769440733047,2026-01-26T07:18:53.047,success,0.67,200,
1769440733098,2026-01-26T07:18:53.098,success,0.74,200,
1769440733148,2026-01-26T07:18:53.148,success,0.63,200,
1769440733198,2026-01-26T07:18:53.198,success,0.61,200,
1769440733248,2026-01-26T07:18:53.248,success,0.60,200,
1769440733298,2026-01-26T07:18:53.298,success,0.58,200,
1769440733348,2026-01-26T07:18:53.348,success,0.85,200,
1769440733398,2026-01-26T07:18:53.398,success,0.68,200,
1769440733449,2026-01-26T07:18:53.449,success,0.64,200,
1769440733499,2026-01-26T07:18:53.499,success,0.62,200,
1769440733549,2026-01-26T07:18:53.549,success,0.92,200,
1769440733599,2026-01-26T07:18:53.599,success,0.75,200,
1769440733649,2026-01-26T07:18:53.649,success,0.60,200,
1769440733699,2026-01-26T07:18:53.699,success,0.59,200,
1769440733749,2026-01-26T07:18:53.749,success,0.59,200,
1769440733799,2026-01-26T07:18:53.799,success,0.54,200,
1769440733850,2026-01-26T07:18:53.850,success,0.62,200,
1769440733900,2026-01-26T07:18:53.900,success,0.61,200,
1769440733950,2026-01-26T07:18:53.950,success,0.80,200,
1769440734000,2026-01-26T07:18:54.000,success,0.81,200,
1769440734050,2026-01-26T07:18:54.050,success,0.82,200,
1769440734100,2026-01-26T07:18:54.100,success,0.72,200,
1769440734151,2026-01-26T07:18:54.151,success,0.67,200,
1769440734201,2026-01-26T07:18:54.201,success,0.70,200,
1769440734251,2026-01-26T07:18:54.251,success,0.62,200,
1769440734301,2026-01-26T07:18:54.301,success,0.57,200,
1769440734351,2026-01-26T07:18:54.351,success,0.59,200,
1769440734401,2026-01-26T07:18:54.401,failure,15.92,503,HTTP 503: Service Unavailable
1769440734451,2026-01-26T07:18:54.451,failure,0.66,503,HTTP 503: Service Unavailable
1769440734501,2026-01-26T07:18:54.501,failure,0.61,503,HTTP 503: Service Unavailable
1769440734552,2026-01-26T07:18:54.552,failure,0.89,503,HTTP 503: Service Unavailable
1769440734602,2026-01-26T07:18:54.602,failure,0.72,503,HTTP 503: Service Unavailable
1769440734652,2026-01-26T07:18:54.652,failure,10.82,503,HTTP 503: Service Unavailable
1769440734702,2026-01-26T07:18:54.702,failure,10.70,503,HTTP 503: Service Unavailable
1769440734752,2026-01-26T07:18:54.752,failure,0.83,503,HTTP 503: Service Unavailable
1769440734802,2026-01-26T07:18:54.802,failure,0.62,503,HTTP 503: Service Unavailable
1769440734852,2026-01-26T07:18:54.852,failure,0.60,503,HTTP 503: Service Unavailable
1769440734903,2026-01-26T07:18:54.903,failure,0.75,503,HTTP 503: Service Unavailable
1769440734953,2026-01-26T07:18:54.953,failure,0.68,503,HTTP 503: Service Unavailable
1769440735003,2026-01-26T07:18:55.003,failure,0.92,503,HTTP 503: Service Unavailable
1769440735053,2026-01-26T07:18:55.053,failure,0.83,503,HTTP 503: Service Unavailable
1769440735103,2026-01-26T07:18:55.103,failure,0.79,503,HTTP 503: Service Unavailable
